사업대분류명,사업중분류명,사업소분류명,사업명,사업내용,이용대상내용,이용방법내용,운영시간내용,문의처내용,대상아동나이,대상관심,대상지역,자세히보기사이트주소,신청하기사이트주소
육아,일자리지원, ,서울형 강소기업 지원(사업종료),"① 청년 정규직 채용 시, 사내복지 개선 등 근무환경개선금지원(최대 3명) ② 육아친화 및 일?생활 균형 조직문화 조성을 위한 교육?컨설팅 지원 ③ 마음챙김, 스트레스 관리로 신입사원 번아웃 예방을 위한 청년성장 프로그램 제공","서울 소재 중소기업 중 공공기관 인증을 받은 기업 대상으로 청년일자리 창출 확대 및 일 생활 균형 조직문화, 고용안정성, 복지혜택이 우수한 기업",모집공고 → 신청 → 서류심사 → 현장실사 → 면접심사 → 최종선정,,서울특별시 일자리정책과,연령무관,육아 - 일자리지원,서울시,http://www.seouljobnow.co.kr/,http://www.seouljobnow.co.kr/
일생활균형,경력보유여성 취업지원,경력보유여성 취업 3종세트,우먼업 구직활동지원금,"3040 경력보유여성을 발굴, 월 30만원(3개월)지원하여 구직활동 장려",서울시 경력단절여성,공고문에 따른 접수,,1660-3040,"임신?출산,0~2세,3~5세,6~9세,10세 이상",일생활균형,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",https://www.seoulwomanup.or.kr,https://www.seoulwomanup.or.kr
탄생응원,"청년, 신혼 부부 지원","청년, 건강한 밥상","청년, 건강한 밥상","청년 1인가구 대상 도구 사용법, 재료 고르는 법 등 기초 중심의 집밥 만드는 방법(체험)과 건강 프로그램 운영 등 5개 자치구 선정, 자치구당 최대 15백만원 지원",청년(19~39세) 1인가구 600명,자치구 1인가구지원센터를 통해 신청,,자치구 1인가구지원센터,임신?출산,임신?출산 준비,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",https://news.seoul.go.kr/welfare/archives/551304,.
탄생응원,탄생축하문화 확산,생명탄생 축하사진 공모,생명탄생 축하사진 공모,ㅇ 부부가 만나서 가족을 이루고 아이를 낳고 키우는 과정에서 다양한 감동적인 사연을 소개함으로써 결혼?출산?양육에 대한 인식개선 추진  ㅇ 선정된 사연을 바탕으로 이미지와 영상을 전광판 표출 및 SNS공유하여 탄생 문화를 응원하는 사회 분위기 확산,서울 시민 및 생활권자 누구나,※2023년으로 종료된 사업입니다.,,,임신?출산,"보육?돌봄,외출,문화","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",https://blog.naver.com/seoulfamilyc/223112342560,.
(예비)신혼부부,결혼지원, ,정보시스템  유지관리(사업종료),"별적으로 제공되고 있는 출산 및 육아 정보를 한곳에 통합하여, 사용자 맞춤형 정보를 제공하고, 온라인 신청 기능도 갖춘 종합 플랫폼「탄생에서 육아까지 몽땅정보 만능키」운영 및 시스템 고도화",시민,로그인 접속,,-,연령무관,(예비)신혼부부 - 결혼지원,서울시,.,.
일생활균형,일생활 균형문화 확산,,서울형 일?생활 균형 3종 패키지,양육 친화 기업문화 조성을 위해 서울형 일?생활 균형 3종 패키지를 시행함으로써 초저출생 위기 극복 및 일?생활 균형 문화 확산 ? 배우자 출산휴가 의무제(10일) ? 육아휴직 사용 활성화 ? 육아기 근로시간 단축 사용 권고제 (연 1회),"서울시 공무원, 투자?출연기관 및 민간기업(서울형 강소기업 중심) 임직원",기관별 관련규정 개정 및 시행,,서울시 저출생담당관(02-2133-5034),"임신?출산,0~2세,3~5세,6~9세",일생활균형,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",.,.
양육,돌봄인프라, ,공동육아방,"부모 참여형 다양한 놀이 프로그램 운영, 육아정보 제공 및 상담 등",6세이하 영유아 및 보호자,인터넷 및 전화예약 후 시설이용 (자치구 육아종합지원센터),월~금 09:00~18:00 (시설별 상이),자치구 육아종합지원센터,0세 ~ 6세,양육 - 돌봄인프라,서울시,https://icare.seoul.go.kr/icare/user/fcltyInfoManage/BD_selectCopertnChldcrContactList.do?q_svcClCode=1002&q_tap=1,.
안심돌봄,돌봄공백지원,서울형 틈새 아이돌봄 3종 서비스,등하원 전담 아이돌봄서비스,"등원 사전준비, 준비물 챙기기, 등하원 동행, 하원 후 양육자 귀가 전까지 놀이활동 등 돌봄 서비스 제공","어린이집, 유치원, 학교, 학원 등하원 필요한 양육공백 가정의 만 12세 이하 아동",아이돌봄서비스 (https://www.idolbom.go.kr/)에서 신청가능하며 이용가정의 상황에 맞춰 서비스제공기관(자치구 가족센터 등)에서 전담 돌보미를 연계,"등하원시간대 전후 (오전 07~10시, 오후 16~20시)",서울시 아이돌봄담당관(02-2133-4812),"0~2세,3~5세,6~9세,10세 이상",보육?돌봄,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",https://icare.seoul.go.kr/icare/dolbomMENU2/dolbomMENU2_3/dolbomMENU2_3_1.jsp,https://www.idolbom.go.kr/front/login
임신,난임지원, ,난임부부 지원,"o 난임시술 비용의 본인부담액에 대한 시술별 지원상한액 지원      -(횟수) 출산당 총25회 (보조생식술 시작일이 '24.11.1.일 이후부터)      -(지원금액) 시술별 1회당 최대 30만원~110만원  o 난임시술 중단 의료비 지원('25.1.1. 일 이후 지원결정통지서 발급일 기준)       -(지원항목) 공난포, 미성숙난자 또는 비정상난자채취, 자궁내막불량, 난소저반응, 조기배란, 배란안됨, 기타 의학적 사유로 인한 시술 중단(개인사정제외)",- 서울시 모든 난임부부(사실혼 포함),"온라인 또는 보건소 방문 구비서류 제출  - 온라인 : 정부24(www.gov.kr), e보건소 공공포털(www.e-health.go.kr)  - 주소지 보건소 방문",해당없음,- 주소지 보건소 - 120다산콜센터,연령무관,임신 - 난임지원,서울시,https://seoul-agi.seoul.go.kr/ifc-csp,.
육아,놀이?외출지원, ,탄생응원 서울축제(2024년)(사업종료),"- 취지 : 저출생 시대 생명과 가족의 ‘위대한’ 탄생을 축하하고, 탄생의 소중한 기쁨과 행복을 널리 전파하고 되새길 수 있는 축제의 장 마련 - 행사주제 : '위대한 동행, 행복한 다둥이 가족' - 행사내용 : 공모전 당선작 시상, 서울엄빠 행복한 순간 영상 상영, 축하공연, 경품 추첨 등 - 행사일자 : 2024년 5월 25일 토요일 13:00~16:00",서울시 거주 다둥이 가족,- 신청 기간: 5/20~22 - 신청 방법: 축제 누리집(www.happyseoul.or.kr)에서 선착순 접수,,저출생담당관(02-2133-5018),연령무관,육아 - 놀이?외출지원,서울시,https://www.happyseoul.or.kr/,.
안심돌봄,다양한 가족 지원,미혼모?부 양육지원 강화,미혼모?부 양육 코칭 지원,? 미혼모?부 대상 찾아가는 자녀양육코칭 (7회)         : 오리엔테이션 (1회)  →  양육 고민상담 및 교육(1회) → 전문가가 찾아가는 양육 솔루션(5회)      ? 미혼모?부 간 네트워크 형성 및 육아 자신감 고취를 위한 자조모임 커뮤니티 지원         : 구성원 모집 및 선정 → 임파워먼트 및 부모 교육 →  자조모임 지원(문화예술?역량 개발 등)           및 자녀와 함께하는 체험?여행 프로그램 지원,서울시 거주 자녀(만 12세 미만)를 양육하는 미혼모?부 누구나,서울시 가족다문화담당관(02-2133-8695) 문의,,서울시 가족다문화담당관(02-2133-8695),"0~2세,3~5세,6~9세,10세 이상","외출,문화,교육","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",.,.
안심돌봄,다양한 가족 지원,청소년부모 지원 강화,양육비 지원 확대,자녀 1명당 아동양육비 월 20만원 추가 지원,기준 중위소득 90% 이하 청소년부모 가구의 자녀,거주 중인 자치구 동주민센터 신청,,서울시 가족다문화담당관(02-2133-8696),"0~2세,3~5세,6~9세,10세 이상",수당?급여,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",.,.
안심돌봄,다양한 가족 지원,미혼모?부 양육지원 강화,미혼부 양육비 신청 절차 간소화,양육비 신청 절차 간소화,자녀 출생신고 중인 미혼부 가정,법원에 출생신고 확인신청 후 소장(사본) 제출,,서울시 가족다문화담당관(02-2133-8698),"0~2세,3~5세,6~9세,10세 이상",수당?급여,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",.,.
안심돌봄,다양한 가족 지원,미혼모?부 양육지원 강화,미혼모?부 자녀 양육 지원,"병원비(아이의 입원?예방접종비) 및 양육용품(분유, 기저귀, 계절에 따른 의류, 유모차, 보행기 등) 지원",소득인정액 기준 중위소득 72% 이하 미혼모?부 가정,거주 중인 자치구 가족센터 신청,,서울시 가족다문화담당관(02-2133-8685),"0~2세,3~5세,6~9세,10세 이상",수당?급여,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",.,.
안심돌봄,다양한 가족 지원,세자녀 가구 둘째부터 서울런 이용,세자녀 가구 둘째부터 서울런 이용,서울런 가입대상을 다자녀 가족까지 확대하여 온라인 학습 콘텐츠 및 1:1 맞춤형 멘토링 무료 지원,중위소득 85%에 더해 세자녀 이상 가구의 둘째부터 지원,서울시 교육지원정책과(02-2133-9279) 문의,,서울시 교육지원정책과(02-2133-9279),"6~9세,10세 이상",교육,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",https://slearn.seoul.go.kr/front/mainView.do,.
일생활균형,일생활 균형문화 확산,양육친화적 기업문화정착,양육친화적 기업문화정착,서울소재 중소기업에 일?생활 균형 및 양육 친화적 기업문화를 확산하기 위해 경제단체 협력 기업 양육친화 문화확산 캠페인 추진,서울소재 중소기업,2023년으로 종료된 사업입니다.,,서울시 경제정책과(02-2133-5238),"임신?출산,0~2세,3~5세,6~9세,10세 이상",일생활균형,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",.,.
(예비)신혼부부,결혼지원, ,결혼 공감 토크 콘서트,청년세대 대상으로 달라진 결혼 가치관에 대한 사회적 공감대 형성과 고민을 나누고 결혼에 대한 긍정적 메시지 전달?확산을 위한 콘서트 개최,2030 청년세대,연애?결혼 등 관련 주제를 선정하여 토크 콘서트 개최,,서울특별시 1인가구지원과 02)2133-6157,연령무관,(예비)신혼부부 - 결혼지원,서울시,https://blog.naver.com/dakhosa/223240989132,.
일생활균형,양육자 가사부담 완화,외국인 가사(육아)인력 시범사업,외국인 가사(육아)인력 시범사업,맞벌이 부부 등 ‘육아 조력자’의 도움이 절실한 자녀양육 가정에 외국인 육아도우미를 활용한 양육지원사업 도입,서울시 가족다문화담당관(02-2133-8682) 문의,서울시 가족다문화담당관(02-2133-8682) 문의,,서울시 가족다문화담당관(02-2133-8682),"0~2세,3~5세,6~9세,10세 이상",일생활균형,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",.,.
육아,수당?급여, ,방과후 보육료,"① 정부지원시설 - 4시간 이용: 월 10만원 지원 - 종일 이용(방학 등): 월 20만원 지원  ② 정부미지원시설  - 4시간 이용: 월 233,650원  - 종일 이용: 월 467,300원   ③교사대아동 비율 1:3, 전담교사 배치된 반에 재원 장애아동 - 4시간 이용: 월 293,000원 - 일일 8시간 이상 이용 시 해당일 추가지원(보조금)",차상위 이하 또는 장애아동에 해당되는 취학아동이 방과후 어린이집을 일일 4시간 이상 이용하는 경우,"동 주민센터, 복지로에서 신청",해당사항 없음,교육부 콜센터(02-6222-6060),연령무관,육아 - 수당?급여,서울시,https://www.easylaw.go.kr/CSP/CnpClsMainBtr.laf?csmSeq=626&ccfNo=2&cciNo=3&cnpClsNo=1,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001140
출산,일자리지원, ,서울시 소상공인 휴업손실비용 지원사업,"- 임신 및 출산으로 인한 휴업 기간 동안의 고정비(임차료, 공공요금)  - 휴업 일 최대 5만원 한도/최대 10일/50만원 한도",서울특별시 소상공인 전체 무료가입  - 청구일 기준 1년 이상 영업중인 소상공인  - 주민등록상의 거주지와 사업소재지가 모두 서울인 경우  - 사업주 및 배우자 포함  - 자세한 사항은 아래 안내 페이지 참조,o 지원기간 : 2025년 1월 1일~2025년 12월 31일  o 이용방법(필수) : KB손해보험 이메일 접수 (plan24@kbinsure.co.kr)  - 단계 1) 페이지 하단의 알아두실 사항 통해 제출 서류요건/지원 제외업종/청구방법 등 확인  - 단계 2) 청구서 양식 다운로드 후 작  - 단계 3) 준비한 서류와 함께 이메일 접수 ※ 어려움 있으실 경우 아래 문의 방법을 참고해주세요.,,전담 서비스 센터(☎1660-0435)  - 전담 카카오톡 채널(URL) https://pf.kakao.com/_xlxlKxbn  - 이메일: plan24@kbinsure.co.kr,연령무관,출산 - 일자리지원,서울시,https://bilci-seoul.info/,.
육아,가사지원, ,외국인 가사관리사 시범사업(사업종료),"서울지역 맞벌이 가구 등을 대상으로 외국인 가사관리사가 양육가정의 가사와 육아를 제공하는 서비스 - (서비스 유형) 시간제(4?6시간), 종일제(8시간)    * 이용가능일 : 월~금, 이용가능시간 : 08:00~20:00 - (서비스 내용) 외국인 가사관리사가 출퇴근 하면서 자녀돌봄 및 그와 관련된 가사활동 제공","만 12세(2012.1.1.이후 출생)이하 자녀를 두었거나 출산 예정인 가정 ※ 한부모, 다자녀, 맞벌이, 임신부가 있는 가정 우선 이용자 선정","서비스 제공기관 홈페이지(홈스토리생활, 휴브리스)에서 상시신청","o 운영기간    - (1차시범) 2024.9.3 ~ 2025.2.28., 6개월   - (시범연장) 2025.3.~",서울시 다산콜센터(02-120),0세 ~ 12세,육아 - 가사지원,서울시,https://umppa.seoul.go.kr/hmpg/chpo/noti/bordContDetail.do?mode=W&bbs_no=1&pst_no=1D54BCF35A2A35A3E063A602216284C6,.
양육,가사지원, ,가정행복 도시락?밀키트?먹거리 할인,"<span	class='color_blue'>다수 협력업체들의 협약종료 및 불경기 상황으로 인하여 2025. 6. 2. 쿠폰지급(5. 27. 신청마감)을 마지막으로, 가정행복 먹거리 밀키트 도시락 할인쿠폰 사업이 종료됩니다.  그동안 사업에 관심을 가져주시고 이용해주셔서 감사합니다. 좋은 사업으로 다시 돌아오겠습니다.</span>  <span	class='color_blue'>서울시 가정행복 도시락 밀키트 먹거리 할인쿠폰 협력사업은 종료됩니다만, 풀무원 측에서 당해 사업의 좋은 취지를 살려 우리 사업을 이용하시던 미성년 양육 가정에 할인 쿠폰 제공을 지속할 예정이라고 합니다.   [풀무원에서 아래와 같은 방법으로 쿠폰 수신을 유지하실 수 있음을 전달드립니다.] #풀무원 사이트(https://shop.pulmuone.co.kr/)에 회원가입하여 '마케팅 활용 동의/광고성 정보 수신동의'하신 분들을 대상으로 1년간 쿠폰 지급이 유지될 예정입니다. (마케팅 수신 및 광고성 정보 수신 미동의 혜택 제공 불가)  </span>  ※ 가정행복 도시락?밀키트?먹거리 할인지원 사업은 서울시 예산 지원 없이 협력사가 사회 공헌 차원에서 쿠폰 비용을 전액 부담하고 있는 사업입니다. ※ 신청 후 '승인대기' 상태로 보이는 것이 정상이며, 대상자에 해당하시는 경우 시스템상 승인 없이 다음달 1일(휴일인 경우 다음날) 쿠폰을 발송해드립니다.   지원 내용  ① 신선 식재료 '오아시스마켓'(https://www.oasis.co.kr/)  :  ‘3/6/9만 원 구매 시 5천/1만/1만 5천 원 할인쿠폰’ 총 4장    * 일부 타 기획전 할인쿠폰 중복 적용 가능(문자 발급 쿠폰 중복 적용 불가능)    * 오아시스마켓 배송상품 모두 사용 가능   ② 신선 식재료, 간편식, 냉동/냉장식품 '#(샵)풀무원'(https://shop.pulmuone.co.kr/)  : ‘3만/4만/8만 원 구매 시 6천/8천/2만원 할인쿠폰’ 각 1장, 총 3장    * 타 쿠폰 및 이벤트와 중복사용 불가  ③  건강한 도시락, 밀키트, 식재료 '그리팅'(https://www.greating.co.kr/)  :  ‘3만/5만 원 구매 시 7천/1만2천원 할인쿠폰’ 각 1장, 총 2장  ④  밀키트 전문 '마이셰프' (https://mychef.kr/)  : ‘2만/3만/5만 원 구매 시 3천/4.5천/7.5천원 할인쿠폰’ 각 1장, 총 3장  ※ GS편의점은 2023년 12월 말로 협약이 종료되었습니다. ※ 칙바이칙, 랭킹닭컴은 2024년 6월 말로 협약이 종료되었습니다. ※ CU, 프레시지, 허닭은 2024년 12월 말로 협약이 종료되었습니다. ※ 그리팅은 2025년 2월 말로 협약이 종료되었습니다.",서울시 거주 18세 이하 자녀 1명 이상 있는 가구(조손가구 포함) * 자녀가 2007. 1. 1. 이후 출생한 경우 신청 가능 * 부모(또는 조부모) 1명당 각각 자녀별 신청 가능,① 오아시스마켓: 문자로 받은 쿠폰 번호를 '오아시스마켓' 어플 또는 사이트에서 등록하여 사용 ② #(샵)풀무원: 문자로 받은 쿠폰 번호를 '#풀무원' 어플 또는 사이트에서 등록하여 온라인 주문 시 사용   ③ 그리팅:  문자로 받은 쿠폰 번호를 '그리팅' 어플 또는 사이트에서 등록하여 온라인 주문 시 사용 ④ 마이셰프:  문자로 받은 쿠폰 번호를 '마이셰프' 사이트에서 등록하여 온라인 주문 시 사용,"1. 신청기간: 매월 20일(휴일인 경우 다음날) 0시 ~27일 23시 59분, 선착순 접수 2. 쿠폰지급: 신청 다음달 1일, 휴일인 경우 다음날",02-120 또는 서울시 가족담당관(02-2133-6551),0세 ~ 18세,양육 - 가사지원,서울시,.,https://umppa.seoul.go.kr/hmpg/hehe/suea/difa/appl/applAgreRegistForm.do
육아,돌봄지원, ,서울형 시간제 전문 어린이집,가정양육 또는 타 기관 이용 보호자 등 누구나 필요시 시간 단위로 이용할 수 있는 보육서비스,"6개월 이상 7세 이하 미취학 영유아(부모 또는 조부모 중 한 명 이상이 서울시에 거주하거나, 부모의 직장이 서울시인 경우)",이용 1일전까지 서울시보육포털서비스에서 신청(긴급 시 당일 12시까지 방문?유선접수 가능),평일 07:30~19:30 (주말?공휴일 제외),서울시 영유아담당관(02-2133-5116),0세 ~ 7세,육아 - 돌봄지원,서울시,https://iseoul.seoul.go.kr/portal/reservation/timeselInfo.do,https://iseoul.seoul.go.kr/portal/reservation/timeselList.do
양육,생활지원, ,서울시 북스타트 엄마 북(Book)돋움 사업,"엄마 북(Book)돋움 책꾸러미 상자 배송 (엄마아빠 육아정보도서 1권, 우리아이 첫책(그림책) 2권, 시 육아정책정보, 엄마북돋움 에코백)",서울시 거주 임산부(임신 3개월 ~ 출산 3개월),"ㅇ 임산부    - 임산부교통비지원 시스템에서 직접 온라인 신청 ㅇ 그 외(시스템 이용이 불가한 경우)   - 교통비를 지원받지 못한 임산부, 조손가정, 父子가정 등은 서울도서관에서 별도 이메일 신청   - 서울도서관 :  https://lib.seoul.go.kr/bbs/content/3_62822",,서울도서관 도서관정책과(02-2133-0224),0세 ~ 1세,양육 - 생활지원,서울시,https://lib.seoul.go.kr/rwww/html/ko/bookUp.jsp,https://www.seoulmomcare.com/main/main.do
양육,놀이?외출지원, ,탄생응원 서울축제,"- 취지 : 저출생 시대 생명과 가족의 ‘위대한’ 탄생을 축하하고, 탄생의 소중한 기쁨과 행복을 널리 전파하고 되새길 수 있는 축제의 장 마련 - 행사주제 : '위대한 동행, 행복한 다둥이 가족' - 행사내용 : 공모전 당선작 시상, 서울엄빠 행복한 순간 영상 상영, 축하공연, 경품 추첨 등 - 행사일자 : 2024년 5월 25일 토요일 13:00~16:00",서울시 거주 다둥이 가족,- 신청 기간: 5/20~22 - 신청 방법: 축제 누리집(www.happyseoul.or.kr)에서 선착순 접수,,저출생담당관(02-2133-5018),연령무관,양육 - 놀이?외출지원,서울시,https://www.happyseoul.or.kr/,https://www.happyseoul.or.kr/05
육아,수당?급여, ,그 밖의 연장형 보육료 등,"① 야간연장보육  일반아동: 시간당 4,000원 장애아동: 시간당 5,000원 지원한도: 월 60시간  ② 야간12시간 및 24시간(월별)  만0세: (야간)540,000원, (24시간)810,000원 만1세반: (야간)475,000원, (24시간)712,500원 만2세반: (야간)394,000원, (24시간)591,000원 만3~5세: (야간)280,000원, (24시간)420,000원  ③ 휴일 보육료 - 0~5세 부모보육료*휴일보육일수/해당 월 보육가능일수 - 휴일어린이집으로 미지정된 경우 지원금액의 150% 지원","(원칙) 만0~2세반 연장보육료, 만3~5세반 누리과정보육료, 다문화보육료 및 장애아보육료 지원아동","동 주민센터, 복지로에서 신청",① 야간연장보육료 : 평일 19:30~24:00 토요일 15:30~24:00 ② 야간12시간 보육료 : 19:30~익일 7:30  ③ 24시간 보육료 : 7:30~익일 7:30 ④휴일보육료 : 일요일 보육 등,교육부 콜센터(02-6222-6060),0세 ~ 5세,육아 - 수당?급여,서울시,https://www.easylaw.go.kr/CSP/CnpClsMainBtr.laf?csmSeq=626&ccfNo=2&cciNo=3&cnpClsNo=1,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001147
일생활균형,1인 자영업자?프리랜서 지원,,임산부 출산급여 지원,ㅇ 임산부 출산급여 90만원 지원     ※고용노동부 ‘고용보험 미적용자 출산급여’ 150만원에 추가지원,ㅇ 1인 자영업자 및 프리랜서 출산 여성      ※2024.4.22.이후 출산가구부터 지원    - 고용노동부(서울고용센터) ‘고용보험 미적용자 출산급여’ 기 수급자 일 것   - 신청일 기준 서울시 거주 및 자녀 서울시 출생신고,ㅇ 2025.1월   ※추후 사회보장제도 신설협의 과정에서 변동될 수 있음,,다산콜센터(02-120),임신?출산,임신?출산 준비,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",.,.
육아,수당?급여, ,아동수당,아동 1인당 월 10만원 지급(아동이 90일 이상 해외 체류하는 경우 지급 중단),대한민국 국적을 보유(국적법에 따른 복수국적자 및 난민법에 따른 난민인정자 포함)하고 주민등록법에 따른 주민등록번호가 정상적으로 부여(사회복지 전산관리번호 부여 대상자 및 주민등록법에 따른 거주불명자 중 실제 거주지가 확인되는 자 포함)된 만 8세 미만 아동(0~95개월),거주지 관할 읍?면?동주민센터 또는 온라인 신청 (bokjiro.go.kr),,보건복지부 콜센터 (129),0세 ~ 8세,육아 - 수당?급여,서울시,.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001171
육아,놀이?외출지원, ,서울엄마아빠VIP존,"아이동반 외출 시, 양육자와 아이의 휴식이 가능하면서 수유?돌봄?놀이 등 육아편의를 제공하는 양육자를 위한 전용(VIP) 공간 조성 (적정 공간을 갖추고, 시설별 특성에 맞는 서비스를 제공) ① 기본형 : 아기쉼터, 기저귀교환대 등 육아편의 공간 제공 ② 휴식형 : 아이와 머무르며 쉬고 놀 수 있는 개방형 휴식공간 제공 ③ 완성형 : 양육자가 문화?여가생활을 할 수 있도록 돌봄?놀이공간 제공                                                                                                                            ※ 시설 여건 및 이용자 수요에 따라 조성",영유아 및 아이 동반 양육자,"아트책보고, 세종문화회관 등 방문시 이용",시설별 상이,서울시 저출생담당관(02-2133-5031),연령무관,육아 - 놀이?외출지원,서울시,https://map.seoul.go.kr/smgis2/short/6ONkG,.
일생활균형,1인 자영업자?프리랜서 지원,,배우자 출산휴가 지원금,ㅇ 임산부 배우자를 둔 1인 자영업자?프리랜서에 배우자 출산휴가 지원금 80만원 지원,ㅇ 출산 배우자를 둔 1인 자영업자?프리랜서     ※2024.4.22.이후 출산가구부터 지원   - 신청일 기준 서울시 거주 및 자녀 서울시 출생신고   - 배우자 출산일 기준 사업장 운영(프리랜서는 용역계약유지 등) 및 출산일 전 18개월 중 3개월 이상의 소득활동이 있는 자,ㅇ 2025.1월   ※추후 사회보장제도 신설협의 과정에서 변동될 수 있음,,다산콜센터(02-120),임신?출산,임신?출산 준비,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",.,.
육아,수당?급여, ,첫만남이용권,"ㅇ 지원대상 : 출생신고되어 정상적으로 주민등록번호를 부여받은 아동 ㅇ 지원금액 : 첫째아 200만원, 둘째아 이상 300만원 ㅇ 이용기간 : 아동 출생일(주민등록일상 생년월일)로부터 2년    ※ 변경사항(’24.1.1. 이후 출생아동부터 적용)       - 둘째아 이상 지원금 증액(200만원→300만원), 이용기간 연장(1년→2년) ㅇ 지급방식 : 바우처 신청 시 등록한 1개 카드사의 국민행복카드*에 포인트 지급     * 총 5개 카드사 : BC, 삼성, 롯데, KB국민, 신한카드사 ㅇ 사 용 처 : 유흥업종 사행업종, 마사지 등 위생업종(이미용실 제외), 레저업종, 성인용품 등 기타업종 등, 면세점 등을 제외한 전 업종(온라인 구매 포함)에서 사용 가능",출생신고되어 정상적으로 주민등록번호를 부여받은 아동,ㅇ 방문신청        - 보호자 또는 그 대리인이 아동의 주민등록상 주소지 동주민센터에 신청  ㅇ 온라인 신청        - 아동의 보호자가 부모인 경우에 한해 복지로(www.bokjiro.go.kr) 또는 정부24(www.gov.kr)에서 신청,,"보건복지부 129, 각 자치구 및 동주민센터",0세 ~ 2세,육아 - 수당?급여,서울시,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004656,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004656
육아,돌봄인프라, ,우리동네키움센터 방학중 중식 무료제공,센터 이용 아동 대상 방학중 중식 무료제공,돌봄이 필요한 6~12세 아동 혹은 초등학생,우리동네키움포털 등으로 이용 희망 센터 돌봄서비스 신청 후 센터 승인을 거쳐 이용,* (일반형) 학기중 : 13시~20시 / 방학중 : 9시~18시 * (융합형) 학기중 : 13시~20시 / 방학중 : 8시~20시 #주말(토) 4시간 운영,이용 희망 센터(우리동네키움포털 홈페이지 참조),6세 ~ 12세,육아 - 돌봄인프라,서울시,https://umppa.seoul.go.kr/icare/user/careResve/BD_selectChilCareResveList.do,https://umppa.seoul.go.kr/icare/user/careResve/BD_selectChilCareResveList.do
